IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy
3575.614590064324,3514.443733230301,2935.3844774854642,68
3439.472101089121,3791.943625798046,2831.8127451906976,60
3574.3445887939906,3738.045068006709,3225.8097886635883,41
3630.302393937549,3624.600375615089,3263.920091195273,41
3285.8289565919004,3907.491845954222,3307.211393810468,60
3526.9720897376656,3634.4296075378484,3055.7480735070785,68
3628.7464129705263,3894.749946546055,3158.4944227089377,41
3425.9057594927976,3806.112057469365,2774.4252226171184,68
3667.697581583774,3977.153725484061,3062.173839229083,41
3771.9939911997653,3995.0276279402547,2965.076279825725,41
3797.9450072198624,3904.442823784785,3174.428063419793,41
3430.653466805842,3803.2718741401713,2757.3577867426407,68
3631.8935717534073,3468.200276452311,2588.682646428672,41
3632.177418164024,3706.05095232636,2885.3616061818157,41
3813.007486048882,3661.286834776431,2531.3906183920626,41
3599.7924332547127,3300.198248794098,2716.9475029979244,41
3881.8620487186527,3489.6834402012123,3183.652855702525,41
3537.3818814080564,3516.8211880142217,3029.3046116258356,41
4043.5909966814984,3625.688536785371,3229.513789559368,41
4057.1711458683258,3676.9269154916083,2953.270825326537,41
3466.8906504912047,3555.1701676652046,2788.8107024176775,41
3618.2201664698237,3486.026846341902,3282.3204948830517,41
3516.8061994283103,3495.273003594455,2796.375534921855,41
3893.429618184978,3516.2159484759195,2913.3964077790392,41
3833.295114829057,3294.5784659871983,2917.248023166329,41
3822.3725449671233,4011.185218127418,2744.462038195479,41
4088.9648470016477,3411.492090988257,3054.598574625687,41
3967.0965181287647,3527.3040178058113,2904.9259106003274,41
3987.8709181788845,3492.6415457669896,2767.9711616584204,41
3684.75198924397,3358.925833633378,3044.9357072048947,41
3678.3811257334587,4033.202207254497,2564.2267359083826,41
3421.627917256261,3571.3120449193552,2604.4328191378213,41
3732.952746351516,3860.9467665302072,2795.347014761332,41
3795.0603195642693,3614.101889239716,2724.8618068299106,41
4099.716459349948,3656.7186925799965,3001.2725269085554,41
3988.767100370034,3751.295190014116,2793.9331892370046,41
3858.4135905334238,3878.9499113597813,2647.1540807125193,41
3396.516070360422,4016.934706087841,3294.3140431607208,68
3319.788583160995,3698.8131521690757,2733.6321860679664,41
3617.0144436345618,3928.998464073611,2869.3411190085712,41
3541.0964492171297,3502.004450063139,2992.736163552558,60
3651.6257295260416,3932.8700835285676,2656.6991268958986,41
3906.719091762179,3471.076056718279,3035.4849863244417,41
3852.3046192319225,3346.47287659274,3130.328336313953,41
3635.252748529056,3804.6789863222125,2894.815147699295,41
3892.1139950355837,3575.3775695867043,2970.0202752558093,68
3456.3445337009925,3699.877139264844,3282.2067654077973,68
3706.9109239146874,3711.646761024433,2860.8474925378505,41
3395.918611440374,3613.0621660750603,2763.6852063360516,68
3460.3835668269603,3529.9695839302303,3133.8577576910093,41
4106.592083185131,3342.1391014249107,3095.698022047333,41
3562.0467266555156,3681.6265309981823,2616.311626074359,41
3775.657853403257,3506.3735752509906,2649.6415179645223,41
3590.0979153298367,3844.500805967053,3078.265059931906,41
3822.660170686235,4017.2274543448343,2651.0458924381796,41
3891.4548445626874,3399.6522757157923,2862.1718293797167,41
3271.44085358713,3382.7931348010657,2895.961321485559,41
3621.1153455523176,4078.1538491216984,2926.023527295499,68
3807.224946245596,3745.2757469910457,3094.434076204745,68
3877.556270764061,3486.0183773124118,2696.087624131443,41
3632.073137468284,4006.725865150079,3141.613419558081,68
3823.585875144705,3588.641855449322,2951.060134011021,41
3748.0330748818405,3345.513487374975,2663.5324125088646,41
3541.83996130442,3904.4278872459436,3378.4279322152615,68
3597.774698393878,4118.025218144514,2997.735909988275,41
3400.1842800158897,4008.315294238953,3076.825298880679,41
3778.1397187912794,3712.7936018267237,2767.3701456424683,41
4120.904733560492,4026.9372485215995,2687.6653539293884,41
3673.96614703571,3654.410131474512,3122.0856362032237,41
3529.574005337854,3684.016654914148,3007.2402622442005,41
3605.9993508236003,3463.4793336626026,2992.525875443508,41
3917.9126944662603,3064.11899313441,2691.1659759393497,41
3877.112966712903,3699.129922762975,3007.403373537688,41
3587.9146350222145,3763.9105161382718,3076.624233230662,41
3741.886554981616,3635.0783634379222,2951.6488732833277,41
3856.944956466439,3428.79198133558,2761.382858456449,41
3921.6951012037257,3318.604563688825,3272.6349040183845,41
3972.5993236967947,3457.2352425519007,2809.1549305851127,41
3632.6468367837797,3730.6723488067896,2988.485450119614,41
3656.6802702483246,3949.256963083692,2879.88888460575,41
3849.943725896797,3933.2370541792384,2906.2642993662184,41
3416.0459583835254,3949.4135744394857,3171.815776194648,41
3683.472522105806,3838.768983674142,3063.1239129841065,68
3485.4484808058996,3959.73242242933,3070.666148741844,68
3582.6671105063324,3906.109892131988,2794.983052774606,68
3730.7610387228924,3918.3075804505775,3362.761509067144,68
3501.1016505710277,4071.6280185293826,3121.9300464551843,68
4110.5330501616945,3554.5665590782096,2832.264192162567,41
3898.256086977546,4039.5887380059103,2886.9099398903904,41
3645.8567500630033,3613.3523893521883,3162.8305358014077,41
3422.340416104531,3652.7854869315784,3300.821588133531,41
