IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,optimal_policy,optimal_outcome_policy
3480.7186775705104,3156.521814398628,3228.0628941174787,75,4402.158394992524,0,0
3594.7594066072643,3470.4503975127145,3171.715759281726,58,4084.4384438007955,0,0
3199.0908366590993,3314.6339731396565,2996.7178235035494,58,4449.268789025189,0,0
3668.5291518498434,3423.55121540781,2569.3469434433064,58,4426.028847371509,0,0
3926.4818860936766,3507.4124839839183,3208.626511388232,75,4172.323233365316,0,0
3558.539097187389,3371.801259609952,2668.123504901477,75,4114.714808972169,0,0
3039.7686154074336,3568.084815989514,2983.5138393786247,75,4432.834769240136,0,0
3284.7787629147538,3545.295223253361,2566.0215147189892,58,4337.959558816325,0,0
3332.912252424319,3440.286873481767,2794.940797520222,75,4042.6596332609843,0,0
3087.0040677501506,3452.8843717498903,3376.6215724166623,75,3896.9656836529844,0,0
3741.4032055244297,3379.7270323385737,3097.5355669924606,58,4155.0921892491115,0,0
3335.402473748366,3207.9415812902175,2953.375286902371,75,3827.5058421401945,0,0
3372.8186640517124,3369.560109861568,2639.674747794591,75,4180.129041735623,0,0
3640.14548032615,3857.5515904135823,3026.8919612950785,58,4185.251674956871,0,0
2865.7917053819324,3500.512398577586,2997.63154685465,75,4296.708705876065,0,0
3526.011191386014,3863.6345770136663,2801.247862523552,58,4263.7897639236235,0,0
3503.560733528426,3278.8426868735805,2387.8618498831834,75,4552.095824789402,0,0
3722.4484862538516,3369.213243712819,3108.866394751556,58,4138.3212205696755,0,0
